name,puntoproduccion,materiaprima,costomateriaprima,bonusProduccion,marketprice,netEfficiency
concrete,10,limestone,0.920,31.250,1.660,2.387
steel,10,iron,0.770,33.500,1.675,3.122
bread,10,grain,0.000,10.000,1.875,2.063
ammo,8,lead,0.328,20.750,0.754,1.158
coca,1,None,0.000,40.500,0.000,0.000
steak,20,livestock,0.000,15.750,3.930,3.291
lead,1,None,0.000,55.500,0.082,4.633
heavyAmmo,16,lead,1.312,25.750,2.927,2.700
lightAmmo,4,lead,0.082,20.000,0.183,0.530
cookedFish,40,fish,0.000,15.000,7.976,3.190
oil,1,petroleum,0.000,15.000,0.000,0.000
cocain,200,coca,0.000,10.000,36.000,1.980
limestone,1,None,0.000,30.000,0.092,2.852
fish,40,None,0.000,20.500,0.000,0.000
livestock,20,None,0.000,35.000,0.000,0.000
iron,1,None,0.000,64.500,0.077,5.044
grain,1,None,0.000,30.000,0.000,0.000
petroleum,1,None,0.000,45.000,0.000,0.000
